id_str,user,tweet,created
1516984452026859520,riani anjani,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/SdTXWE4NyV\n\nBerdiri Bersama Jokowi',04/21/2022 03:37:32
1516983585835675648,kumparan,"b'BEM UI bersama Aliansi Mahasiswa Indonesia (AMI) akan menggelar demo di Patung Kuda, Jakarta, siang ini. #kumparanNEWS https://t.co/c2zuYW4pBH'",04/21/2022 03:34:05
1516982747671437312,Cici,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/HXk07cmo4W\n\nBerdiri Bersama Jokowi',04/21/2022 03:30:45
1516981883610943488,Dedikus10,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/XXpNSdtka9\n\nBerdiri Bersama Jokowi',04/21/2022 03:27:19
1516981385008861184,dewi lestari,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/QbalwKbiuV\n\nBerdiri Bersama Jokowi',04/21/2022 03:25:20
1516979533366259712,Asep Saepudin,b'Presiden 3 periode itu sudah jelas dan tegas ditolak. Lantas apa lagi yang menjadi materi demo? https://t.co/HyzkEHVISb',04/21/2022 03:17:59
1516979479226175489,Detektif Toman,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/EcIkz7v7Jb\n\nBerdiri Bersama Jokowi',04/21/2022 03:17:46
1516979420212658177,rokigareng,"b'@pentestik_007 @BEMUI_Official Pemilu sudah ditetapkan tanggalnya,Presiden juga sudah menolak 3 periode,teus kalian mau demo apa ?TDK becus jd pelajar yg berprestasi ngotot sok banyak gaya....taeeeek'",04/21/2022 03:17:32
1516978741947211777,Ngencukers Style,"b'Mendadak lagi, tagar (dilingkari) trending di tengah penolakan mahasiswa 21 April 2022 pada Gerakan Anti Kebahagiaan Rakyat yakni perpanjangan masa jabatan Presiden Jokowi 3 periode.\n\nThe King Of Lip Service tidak dipercaya tagar  #HabisRezimGelapTerbitlahTerang #NkriHargaNaik https://t.co/cBmLZpLna8'",04/21/2022 03:14:50
1516978699651862538,Bintang Antapani,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nBerdiri Bersama Jokowi\nhttps://t.co/iiKUEHkvbq',04/21/2022 03:14:40
1516977489251553280,Intan Ratnasari,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/jpb4orPZby\nBerdiri Bersama Jokowi',04/21/2022 03:09:52
